15:16:49.205 : tid: MN0: Create (tid:35020)
15:16:49.207 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
15:16:49.208 : tid: MN0: Build date: [(Mar 26 2024) 14:30:55]
15:16:49.209 : tid: MN0: affinity already applied (65534)
15:16:53.103 : tid:   1: ==========================================================
15:16:53.104 : tid:   1: New test: _oneContact=1, maxContacts=1
15:16:53.105 : tid:   1: maxPCNodeVerts=4000
15:16:53.106 : tid:   1: use pointcloud multithread
15:16:53.106 : tid:   1: ==========================================================
15:16:53.110 : tid:   1: 0: TestType='Inside',  CheckInside {
15:16:53.118 : tid:   1:  === Process 2x1 frags ===
15:16:53.120 : tid:   1:  0 exec 0:0 {
15:16:53.123 : tid:   1:   Found 48 pairs
15:16:59.399 : tid:   1:   3D_object	0
15:16:59.400 : tid:   1:   3D_object	1
15:16:59.402 : tid:   1:   line	(-6.019; 78.495; -45.492)	(7.513; 81.632; -43.355)	0
15:16:59.457 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-1.378; 76.662; -149.750)	(-1.378; 76.662; -39.083)	0
15:16:59.457 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-8.331; 80.138; -147.729)	(-2.585; 77.265; -73.917)	0
15:16:59.458 : tid:   1:   triangle	(-14.915; 83.430; -147.729)	(-8.331; 80.138; -147.729)	(-5.268; 78.607; -73.917)	0
15:16:59.459 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-8.331; 80.138; -147.729)	(-1.378; 76.662; -149.750)	0
15:16:59.460 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-16.375; 84.160; -149.750)	(-14.915; 83.430; -147.729)	0
15:16:59.461 : tid:   1:   triangle	(-1.378; 76.662; -149.750)	(-1.378; 77.454; -149.750)	(-1.378; 77.454; -39.083)	0
15:16:59.462 : tid:   1:   triangle	(-1.378; 77.454; -39.083)	(-1.378; 76.662; -39.083)	(-1.378; 76.662; -149.750)	0
15:16:59.462 : tid:   1:   triangle	(-16.375; 84.160; -38.541)	(-16.375; 84.160; -149.750)	(-5.268; 78.607; -73.917)	0
15:16:59.463 : tid:   1:   triangle	(-43.570; 70.563; -118.374)	(-19.612; 82.542; -94.416)	(-21.196; 82.542; -94.416)	0
15:16:59.464 : tid:   1:   triangle	(-21.196; 82.542; -94.416)	(-45.154; 70.563; -118.374)	(-43.570; 70.563; -118.374)	0
15:16:59.465 : tid:   1:   triangle	(-19.612; 82.542; -94.416)	(-16.643; 84.026; -147.729)	(-16.375; 84.160; -149.750)	0
15:16:59.465 : tid:   1:   triangle	(-16.375; 84.160; -149.750)	(-16.375; 84.160; -38.541)	(-16.643; 84.026; -41.104)	0
15:16:59.466 : tid:   1:   triangle	(-16.643; 84.026; -147.729)	(-19.612; 82.542; -94.416)	(-43.570; 70.563; -118.374)	0
15:16:59.467 : tid:   1:   triangle	(-19.612; 82.542; -94.416)	(-16.375; 84.160; -149.750)	(-16.643; 84.026; -41.104)	0
15:16:59.468 : tid:   1:   line	(-6.019; 78.495; -45.492)	(-3.882; 90.090; -42.355)	0
15:16:59.468 : tid:   1:   triangle	(-16.375; 84.952; -38.541)	(-16.643; 84.026; -38.541)	(-16.375; 84.160; -38.541)	0
15:16:59.469 : tid:   1:   triangle	(-14.915; 83.430; -38.541)	(-13.331; 83.430; -38.541)	(-16.375; 84.952; -38.541)	0
15:16:59.470 : tid:   1:   triangle	(-14.915; 83.430; -38.541)	(-16.375; 84.952; -38.541)	(-16.375; 84.160; -38.541)	0
15:16:59.471 : tid:   1:   triangle	(-16.643; 84.026; -41.104)	(-18.227; 84.026; -41.104)	(-23.227; 80.734; -41.104)	0
15:16:59.472 : tid:   1:   triangle	(-16.643; 84.026; -38.541)	(-18.227; 84.026; -41.104)	(-16.643; 84.026; -41.104)	0
15:16:59.472 : tid:   1:   triangle	(-18.227; 84.026; -41.104)	(-16.643; 84.026; -38.541)	(-18.227; 84.026; -38.541)	0
15:16:59.473 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-13.331; 83.430; -38.541)	(-14.915; 83.430; -38.541)	0
15:16:59.474 : tid:   1:   triangle	(-13.331; 83.430; -38.541)	(-14.915; 83.430; -41.104)	(-13.331; 83.430; -41.104)	0
15:16:59.475 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(-8.331; 80.138; -41.104)	(-2.585; 77.265; -71.417)	0
15:16:59.475 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-5.268; 78.607; -71.417)	(-8.331; 80.138; -41.104)	0
15:16:59.476 : tid:   1:   triangle	(-5.268; 78.607; -71.417)	(-2.585; 77.265; -71.417)	(-8.331; 80.138; -41.104)	0
15:16:59.477 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-16.375; 84.160; -38.541)	(-5.268; 78.607; -73.917)	0
15:16:59.478 : tid:   1:   triangle	(-23.227; 80.734; -41.104)	(-23.227; 81.526; -41.104)	(-23.227; 81.526; -37.500)	0
15:16:59.478 : tid:   1:   triangle	(-23.227; 81.526; -41.104)	(-23.227; 80.734; -41.104)	(-18.227; 84.026; -41.104)	0
15:16:59.479 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-5.268; 78.607; -71.417)	(-14.915; 83.430; -41.104)	0
15:16:59.480 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(-2.585; 77.265; -71.417)	(-2.585; 77.265; -73.917)	0
15:16:59.481 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-2.268; 77.899; -73.917)	(-4.951; 79.240; -73.917)	0
15:16:59.481 : tid:   1:   triangle	(-4.951; 79.240; -73.917)	(-5.268; 78.607; -73.917)	(-2.585; 77.265; -73.917)	0
15:16:59.482 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-4.951; 79.240; -73.917)	(-4.951; 79.240; -71.417)	0
15:16:59.483 : tid:   1:   triangle	(-4.951; 79.240; -71.417)	(-5.268; 78.607; -71.417)	(-5.268; 78.607; -73.917)	0
15:16:59.484 : tid:   1:   triangle	(-5.268; 78.607; -71.417)	(-4.951; 79.240; -71.417)	(-2.268; 77.899; -71.417)	0
15:16:59.485 : tid:   1:   triangle	(-2.268; 77.899; -71.417)	(-2.585; 77.265; -71.417)	(-5.268; 78.607; -71.417)	0
15:16:59.486 : tid:   1:   triangle	(-2.585; 77.265; -71.417)	(-2.268; 77.899; -71.417)	(-2.268; 77.899; -73.917)	0
15:16:59.486 : tid:   1:   triangle	(-2.268; 77.899; -73.917)	(-2.585; 77.265; -73.917)	(-2.585; 77.265; -71.417)	0
15:16:59.487 : tid:   1:   triangle	(-21.196; 82.542; -94.416)	(-43.570; 70.563; -70.459)	(-45.154; 70.563; -70.459)	0
15:16:59.488 : tid:   1:   triangle	(-43.570; 70.563; -70.459)	(-21.196; 82.542; -94.416)	(-19.612; 82.542; -94.416)	0
15:16:59.489 : tid:   1:   triangle	(-16.643; 84.026; -41.104)	(-43.570; 70.563; -70.459)	(-19.612; 82.542; -94.416)	0
15:16:59.489 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-1.378; 76.662; -149.750)	(-1.378; 76.662; -39.083)	0
15:16:59.490 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-8.331; 80.138; -147.729)	(-2.585; 77.265; -73.917)	0
15:16:59.491 : tid:   1:   triangle	(-14.915; 83.430; -147.729)	(-8.331; 80.138; -147.729)	(-5.268; 78.607; -73.917)	0
15:16:59.492 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-8.331; 80.138; -147.729)	(-1.378; 76.662; -149.750)	0
15:16:59.492 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-16.375; 84.160; -149.750)	(-14.915; 83.430; -147.729)	0
15:16:59.493 : tid:   1:   triangle	(-1.378; 76.662; -149.750)	(-1.378; 77.454; -149.750)	(-1.378; 77.454; -39.083)	0
15:16:59.494 : tid:   1:   triangle	(-1.378; 77.454; -39.083)	(-1.378; 76.662; -39.083)	(-1.378; 76.662; -149.750)	0
15:16:59.495 : tid:   1:   triangle	(-16.375; 84.160; -38.541)	(-16.375; 84.160; -149.750)	(-5.268; 78.607; -73.917)	0
15:16:59.495 : tid:   1:   line	(-6.019; 78.495; -45.492)	(-8.156; 65.425; -48.629)	0
15:16:59.496 : tid:   1:   triangle	(-16.375; 84.952; -38.541)	(-16.643; 84.026; -38.541)	(-16.375; 84.160; -38.541)	0
15:16:59.497 : tid:   1:   triangle	(-14.915; 83.430; -38.541)	(-13.331; 83.430; -38.541)	(-16.375; 84.952; -38.541)	0
15:16:59.498 : tid:   1:   triangle	(-14.915; 83.430; -38.541)	(-16.375; 84.952; -38.541)	(-16.375; 84.160; -38.541)	0
15:16:59.498 : tid:   1:   triangle	(-16.643; 84.026; -41.104)	(-18.227; 84.026; -41.104)	(-23.227; 80.734; -41.104)	0
15:16:59.499 : tid:   1:   triangle	(-16.643; 84.026; -38.541)	(-18.227; 84.026; -41.104)	(-16.643; 84.026; -41.104)	0
15:16:59.500 : tid:   1:   triangle	(-18.227; 84.026; -41.104)	(-16.643; 84.026; -38.541)	(-18.227; 84.026; -38.541)	0
15:16:59.501 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-13.331; 83.430; -38.541)	(-14.915; 83.430; -38.541)	0
15:16:59.501 : tid:   1:   triangle	(-13.331; 83.430; -38.541)	(-14.915; 83.430; -41.104)	(-13.331; 83.430; -41.104)	0
15:16:59.502 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(-8.331; 80.138; -41.104)	(-2.585; 77.265; -71.417)	0
15:16:59.503 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-5.268; 78.607; -71.417)	(-8.331; 80.138; -41.104)	0
15:16:59.504 : tid:   1:   triangle	(-5.268; 78.607; -71.417)	(-2.585; 77.265; -71.417)	(-8.331; 80.138; -41.104)	0
15:16:59.505 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-16.375; 84.160; -38.541)	(-5.268; 78.607; -73.917)	0
15:16:59.506 : tid:   1:   triangle	(-23.227; 80.734; -41.104)	(-23.227; 81.526; -41.104)	(-23.227; 81.526; -37.500)	0
15:16:59.506 : tid:   1:   triangle	(-23.227; 81.526; -41.104)	(-23.227; 80.734; -41.104)	(-18.227; 84.026; -41.104)	0
15:16:59.507 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-5.268; 78.607; -71.417)	(-14.915; 83.430; -41.104)	0
15:16:59.508 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(-2.585; 77.265; -71.417)	(-2.585; 77.265; -73.917)	0
15:16:59.509 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-2.268; 77.899; -73.917)	(-4.951; 79.240; -73.917)	0
15:16:59.510 : tid:   1:   triangle	(-4.951; 79.240; -73.917)	(-5.268; 78.607; -73.917)	(-2.585; 77.265; -73.917)	0
15:16:59.511 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-4.951; 79.240; -73.917)	(-4.951; 79.240; -71.417)	0
15:16:59.512 : tid:   1:   triangle	(-4.951; 79.240; -71.417)	(-5.268; 78.607; -71.417)	(-5.268; 78.607; -73.917)	0
15:16:59.512 : tid:   1:   triangle	(-5.268; 78.607; -71.417)	(-4.951; 79.240; -71.417)	(-2.268; 77.899; -71.417)	0
15:16:59.513 : tid:   1:   triangle	(-2.268; 77.899; -71.417)	(-2.585; 77.265; -71.417)	(-5.268; 78.607; -71.417)	0
15:16:59.514 : tid:   1:   triangle	(-2.585; 77.265; -71.417)	(-2.268; 77.899; -71.417)	(-2.268; 77.899; -73.917)	0
15:16:59.515 : tid:   1:   triangle	(-2.268; 77.899; -73.917)	(-2.585; 77.265; -73.917)	(-2.585; 77.265; -71.417)	0
